product_id,LGBMRegressor,XGBRegressor,LinearRegression,AutoETS,AutoARIMA,y,NP,NHITS,NBEATS,PatchTST,TFT,TimesNet
1332852 ,316 ,293 ,332 ,276 ,316 ,223 ,240 ,268 ,286 ,267 ,293 ,372 
1279882 ,165 ,136 ,192 ,158 ,157 ,222 ,143 ,130 ,143 ,148 ,150 ,161 
1277240 ,344 ,353 ,335 ,313 ,323 ,221 ,304 ,278 ,307 ,309 ,274 ,408 
1035553 ,255 ,177 ,232 ,81 ,233 ,218 ,207 ,67 ,82 ,(30),149 ,350 
1045199 ,244 ,234 ,240 ,169 ,187 ,217 ,211 ,167 ,181 ,179 ,194 ,243 
1332643 ,240 ,229 ,295 ,179 ,224 ,217 ,213 ,183 ,194 ,164 ,227 ,245 
1278992 ,388 ,382 ,381 ,398 ,379 ,214 ,364 ,396 ,438 ,431 ,404 ,396 
1027794 ,232 ,237 ,268 ,148 ,160 ,212 ,204 ,190 ,194 ,165 ,206 ,216 
1045513 ,344 ,399 ,345 ,328 ,315 ,210 ,321 ,316 ,318 ,328 ,347 ,520 
1041362 ,236 ,186 ,241 ,224 ,224 ,208 ,203 ,200 ,201 ,190 ,208 ,320 
1280442 ,138 ,146 ,153 ,84 ,83 ,208 ,109 ,99 ,99 ,86 ,200 ,182 
1332676 ,231 ,170 ,220 ,137 ,132 ,206 ,126 ,156 ,169 ,122 ,143 ,185 
1025101 ,237 ,234 ,297 ,166 ,209 ,203 ,196 ,176 ,180 ,149 ,180 ,241 
1033457 ,317 ,281 ,378 ,219 ,187 ,202 ,271 ,215 ,252 ,252 ,317 ,375 
1045518 ,268 ,260 ,280 ,226 ,351 ,200 ,249 ,279 ,268 ,247 ,268 ,403 
1045169 ,271 ,315 ,189 ,214 ,233 ,198 ,197 ,161 ,158 ,168 ,167 ,366 
1280371 ,244 ,250 ,220 ,170 ,162 ,192 ,242 ,188 ,197 ,216 ,182 ,238 
1280630 ,478 ,295 ,517 ,293 ,295 ,192 ,328 ,164 ,210 ,335 ,319 ,357 
1025102 ,297 ,319 ,374 ,346 ,170 ,191 ,316 ,286 ,306 ,260 ,303 ,413 
1275299 ,257 ,236 ,286 ,240 ,241 ,188 ,221 ,227 ,249 ,262 ,244 ,213 
