unique_id,ds,cutoff,NHITS,NBEATS,PatchTST,TFT,Informer,TimesNet,cluster,y_
1001912,2024/1/31,2023/10/31,120.415695,142.03929,123.216995,133.89243,6.344013,224.86458,,166
1001915,2023/11/30,2023/10/31,96.39573,109.75459,91.6624,156.12743,6.203935,207.49023,,48
1001915,2023/12/31,2023/10/31,128.45859,129.74306,123.46718,160.8226,6.0185905,231.51039,,111
1001915,2024/1/31,2023/10/31,148.24896,152.2286,186.92126,164.9823,6.1524253,183.69908,,79
1001916,2023/11/30,2023/10/31,59.52835,72.18584,63.00692,83.63721,5.9983306,67.58641,,34
1001916,2023/12/31,2023/10/31,64.441246,71.077,84.18444,84.217636,5.9527016,93.58133,,70
1001916,2024/1/31,2023/10/31,66.83587,69.989136,75.36972,84.684875,6.3576107,79.03918,,67
1001918,2023/11/30,2023/10/31,7.229986,13.951486,8.191756,34.868782,6.3066344,30.409908,,20
1001918,2023/12/31,2023/10/31,16.839563,15.78227,37.670753,35.700806,6.0288987,56.341858,,53
1001918,2024/1/31,2023/10/31,19.065434,18.360723,19.26347,36.46618,6.334552,28.986755,,51
1001919,2023/11/30,2023/10/31,76.374565,85.53259,92.76345,122.082016,5.900824,149.56985,,86
1001919,2023/12/31,2023/10/31,74.2346,83.33646,83.286896,122.38257,5.942275,157.8838,,78
1001919,2024/1/31,2023/10/31,71.47891,82.05951,99.09835,122.66202,6.112244,75.09554,,72
1002241,2023/11/30,2023/10/31,236.90984,182.37221,239.15701,247.18526,4.878519,305.47354,,476
1002241,2023/12/31,2023/10/31,184.66656,102.693756,241.53249,241.18195,6.2924037,114.960915,,43
1002241,2024/1/31,2023/10/31,168.99786,96.631424,220.86188,239.461,6.238834,350.30383,,82
1009244,2023/11/30,2023/10/31,197.74821,211.09454,173.69022,203.75748,6.1153297,292.4431,,684
1009244,2023/12/31,2023/10/31,207.38228,212.86072,222.505,196.51361,6.24635,214.15161,,51
1009244,2024/1/31,2023/10/31,219.72041,219.20071,257.57056,188.12032,6.3237762,203.3756,,40
1009245,2023/11/30,2023/10/31,205.99382,136.97998,230.48347,114.26611,4.543636,166.1464,,352
1009245,2023/12/31,2023/10/31,146.82751,22.72377,172.99045,114.26489,6.0364866,85.99363,,53
1009245,2024/1/31,2023/10/31,134.72821,23.843048,166.26984,113.20655,6.219591,154.6802,,30
1009246,2023/11/30,2023/10/31,191.1364,168.33473,212.25568,189.84901,5.94967,135.05234,,141
1009246,2023/12/31,2023/10/31,145.10974,108.94169,173.10066,184.61395,5.876097,90.09609,,80
1009246,2024/1/31,2023/10/31,132.32462,105.97082,181.47722,182.1498,6.15098,177.29622,,120
1009254,2023/11/30,2023/10/31,268.4479,299.97122,290.898,287.0263,5.6672564,206.5412,,306
1009254,2023/12/31,2023/10/31,241.77383,296.27322,280.6161,290.96848,5.9252167,226.23422,,275
1009254,2024/1/31,2023/10/31,229.67087,286.50784,277.09332,294.22583,6.1444707,280.42822,,255
1009420,2023/11/30,2023/10/31,66.77965,72.916466,69.426056,71.65828,5.610704,78.05987,,78
1009420,2023/12/31,2023/10/31,67.68897,74.25001,73.110596,72.24063,5.853482,83.556,,92
1009420,2024/1/31,2023/10/31,67.528336,72.88953,71.272354,72.68721,6.1097264,92.68333,,68
1009659,2023/11/30,2023/10/31,302.0726,262.3302,313.79355,240.96364,5.460537,275.2376,,165
1009659,2023/12/31,2023/10/31,237.03745,162.19298,299.7701,238.7061,5.7846036,215.67615,,137
1009659,2024/1/31,2023/10/31,220.8934,162.72581,296.54248,235.9182,6.229386,244.21956,,127
1009660,2023/11/30,2023/10/31,191.27719,202.2444,227.71254,247.8742,4.4247985,206.66116,,96
1009660,2023/12/31,2023/10/31,191.28412,188.9549,230.963,229.0202,6.3410926,211.10413,,77
1009660,2024/1/31,2023/10/31,194.50539,181.74823,224.18459,218.02669,6.1964917,265.64767,,166
1009667,2023/11/30,2023/10/31,75.582634,79.58268,69.5316,80.68422,6.068812,103.36921,,66
1009667,2023/12/31,2023/10/31,82.36427,82.73461,84.476845,80.93696,6.35052,103.526665,,110
1009667,2024/1/31,2023/10/31,88.351006,84.40253,96.33766,81.09268,6.346975,89.486046,,133
1010947,2023/11/30,2023/10/31,263.92743,254.3193,295.8028,277.06766,5.940798,445.33075,,600
1010947,2023/12/31,2023/10/31,224.51984,203.12819,311.03,283.49496,6.248775,193.53784,,127
1010947,2024/1/31,2023/10/31,199.91222,180.6757,229.26079,287.77368,6.023498,529.01965,,222
1011186,2023/11/30,2023/10/31,1646.1475,1550.4751,1957.3474,1885.7131,6.23901,1704.2435,,1807
1011186,2023/12/31,2023/10/31,1443.2058,1228.4163,1787.7981,1819.5769,6.301262,1267.2936,,2174
1011186,2024/1/31,2023/10/31,1360.269,1129.0027,1620.6691,1738.7292,5.693478,1774.8369,,2160
1011190,2023/11/30,2023/10/31,270.27768,230.22119,296.1846,191.97136,5.3149104,210.55495,,285
1011190,2023/12/31,2023/10/31,214.31433,128.47723,268.98877,192.34991,6.289298,194.30719,,200
1011190,2024/1/31,2023/10/31,201.88037,126.72031,263.61914,191.70695,6.366654,197.84213,,148
1011293,2023/11/30,2023/10/31,87.32312,103.91857,85.6257,116.26822,6.1849365,93.280174,,97
1011293,2023/12/31,2023/10/31,102.939354,119.325745,107.01517,118.492676,5.7198205,126.131134,,125
1011293,2024/1/31,2023/10/31,109.02551,124.76821,111.88969,120.52696,6.142495,186.20802,,55
1016802,2023/11/30,2023/10/31,3828.211,3724.8337,4183.9663,4081.044,6.117422,4009.5864,,5631
1016802,2023/12/31,2023/10/31,3308.1892,3037.2778,3916.8706,3962.7178,5.6677694,2995.6018,,6145
1016802,2024/1/31,2023/10/31,3061.5015,2744.1704,3440.3633,3865.6301,5.9711094,4409.8477,,3922
1017110,2023/11/30,2023/10/31,38.60629,43.736217,38.230396,36.237858,6.0886254,43.87428,,31
1017110,2023/12/31,2023/10/31,45.730007,50.144142,41.186634,37.412144,5.7629313,45.655502,,73
1017110,2024/1/31,2023/10/31,49.91792,54.85425,46.928337,38.260506,6.341512,60.51363,,56
1017705,2023/11/30,2023/10/31,98.62936,114.83109,112.01403,211.2789,6.1747074,103.61992,,75
1017705,2023/12/31,2023/10/31,116.38851,122.37315,138.78079,214.67262,5.6430826,183.6275,,112
1017705,2024/1/31,2023/10/31,125.117325,133.94571,129.16905,217.74704,6.3367867,129.31093,,79
1018138,2023/11/30,2023/10/31,347.23083,346.51236,393.21866,397.96735,5.7118564,523.888,,172
1018138,2023/12/31,2023/10/31,407.93835,351.99838,384.0879,400.08685,6.210045,413.59702,,285
1018138,2024/1/31,2023/10/31,450.59735,362.01456,353.05795,401.79062,6.357838,621.2491,,316
1018139,2023/11/30,2023/10/31,147.77553,156.30707,217.30847,152.31166,5.9853244,255.36102,,106
1018139,2023/12/31,2023/10/31,211.84288,176.61264,287.24582,152.6544,6.0604024,126.98309,,160
1018139,2024/1/31,2023/10/31,249.7907,205.18306,272.23044,153.02643,6.3185415,433.08374,,193
1018140,2023/11/30,2023/10/31,139.1275,197.8419,236.2383,238.02037,5.5156307,301.802,,131
1018140,2023/12/31,2023/10/31,179.19208,192.43793,280.169,227.13821,6.063009,337.5121,,153
1018140,2024/1/31,2023/10/31,204.91394,190.07361,248.53699,215.6825,6.341917,381.25195,,159
1018856,2023/11/30,2023/10/31,46.469307,48.892258,46.97463,51.078384,5.6521225,25.693268,,62
1018856,2023/12/31,2023/10/31,41.632523,45.222076,53.159405,52.609245,5.9786553,56.1157,,76
1018856,2024/1/31,2023/10/31,40.64492,43.790794,55.498535,53.949707,6.0965295,23.249573,,88
1019130,2023/11/30,2023/10/31,504.43207,568.5232,644.1693,593.90173,5.556116,643.97217,,323
1019130,2023/12/31,2023/10/31,521.05164,539.3689,695.68695,584.3422,5.9266367,703.93744,,339
1019130,2024/1/31,2023/10/31,536.99023,526.4956,657.77264,569.494,6.3585205,779.1461,,271
1019131,2023/11/30,2023/10/31,528.0166,561.3717,638.5634,575.8101,5.99786,685.1243,,135
1019131,2023/12/31,2023/10/31,557.2966,547.5099,658.566,569.9327,6.209817,485.44592,,159
1019131,2024/1/31,2023/10/31,580.7111,542.5624,653.21857,564.4192,6.177002,578.9678,,156
1019302,2023/11/30,2023/10/31,154.69286,148.81693,171.33469,182.82086,5.194729,156.77643,,111
1019302,2023/12/31,2023/10/31,133.61508,119.16778,150.8965,170.15204,6.252023,173.6454,,144
1019302,2024/1/31,2023/10/31,127.30733,110.43208,137.75786,160.59227,6.238157,102.26706,,78.5
1019303,2023/11/30,2023/10/31,12.82355,16.508629,16.58088,19.136272,5.5143485,23.731897,,33
1019303,2023/12/31,2023/10/31,13.86786,14.929394,22.976486,18.84065,6.3549104,25.644337,,30
1019303,2024/1/31,2023/10/31,13.386937,14.787567,15.8353195,18.75007,6.350477,24.624786,,31
1019829,2023/11/30,2023/10/31,121.049126,145.2006,141.50182,148.72614,5.511366,148.37799,,104
1019829,2023/12/31,2023/10/31,134.98273,157.54558,147.60675,150.1305,6.355888,174.1391,,111
1019829,2024/1/31,2023/10/31,145.70378,164.55466,174.99329,151.0753,6.3314285,169.66678,,139
1020125,2023/11/30,2023/10/31,18.177986,28.667233,28.614729,30.211563,5.729893,38.935623,,66
1020125,2023/12/31,2023/10/31,23.381817,30.559685,40.15563,28.266994,6.3581424,43.000843,,55
1020125,2024/1/31,2023/10/31,26.459618,31.674505,36.855064,27.309233,6.2545896,47.168793,,53
1020133,2023/11/30,2023/10/31,151.08502,185.46533,192.7175,237.4697,5.8154573,266.8388,,227
1020133,2023/12/31,2023/10/31,192.53903,208.90102,217.6451,239.2763,5.671914,280.85883,,240
1020133,2024/1/31,2023/10/31,218.93661,233.54243,274.9718,240.71608,6.3411508,234.81651,,217
1020134,2023/11/30,2023/10/31,496.63568,515.40643,556.93066,565.41693,5.896154,456.602,,454
1020134,2023/12/31,2023/10/31,485.5521,467.51218,578.7877,557.4533,6.3341436,459.14917,,378
1020134,2024/1/31,2023/10/31,488.15073,451.7533,607.641,555.92065,6.3290367,578.73724,,325
1020912,2023/11/30,2023/10/31,362.07614,389.3071,399.5639,388.78955,5.5916104,368.8549,,450
1020912,2023/12/31,2023/10/31,318.0292,357.84793,380.31027,387.40497,5.897605,263.2739,,417
1020912,2024/1/31,2023/10/31,297.08398,329.4957,355.83478,387.61566,6.1510963,302.88254,,355
1020913,2023/11/30,2023/10/31,410.0028,428.09308,431.37683,469.0515,5.5560675,380.55176,,440
1020913,2023/12/31,2023/10/31,373.98294,387.65414,456.52664,473.1167,5.635053,473.06705,,555
1020913,2024/1/31,2023/10/31,350.231,363.84738,396.96576,475.44254,6.307567,379.5987,,522
1020914,2023/11/30,2023/10/31,176.3427,189.87332,185.84688,202.14777,5.687504,137.84296,,161
1020914,2023/12/31,2023/10/31,162.0607,181.7508,198.08751,206.08566,5.661039,182.95685,,180
1020914,2024/1/31,2023/10/31,152.87918,174.59549,179.50269,209.75098,6.3309216,98.45201,,204
1022606,2023/11/30,2023/10/31,173.13998,165.0193,187.2271,170.34763,6.0821834,159.76436,,165
1022606,2023/12/31,2023/10/31,148.52232,142.27975,125.87375,167.18234,6.043741,147.20023,,210
1022606,2024/1/31,2023/10/31,136.25217,124.266716,134.42752,162.78508,5.7595515,110.71498,,195
1024046,2023/11/30,2023/10/31,201.96799,262.53232,269.75592,314.8484,5.6392283,389.09784,,224
1024046,2023/12/31,2023/10/31,227.97426,265.32886,329.89746,294.99078,6.363239,416.34454,,111
