product_id,start_date,fcst_value
1331780,2023-12-01,21.0
1331780,2024-01-01,21.0
1331780,2024-02-01,23.0
1331784,2023-12-01,16.0
1331784,2024-01-01,15.0
1331784,2024-02-01,16.0
1027129,2023-12-01,8.0
1027129,2024-01-01,6.0
1027129,2024-02-01,9.0
1273991,2023-12-01,11.0
1273991,2024-01-01,11.0
1273991,2024-02-01,12.0
1274080,2023-12-01,0.0
1274080,2024-01-01,0.0
1274080,2024-02-01,1.0
1331787,2023-12-01,59.0
1331787,2024-01-01,58.0
1331787,2024-02-01,53.0
1276630,2023-12-01,102.0
1276630,2024-01-01,100.0
1276630,2024-02-01,100.0
1043229,2023-12-01,37.0
1043229,2024-01-01,39.0
1043229,2024-02-01,41.0
1017574,2023-12-01,0.0
1017574,2024-01-01,0.0
1017574,2024-02-01,0.0
1017581,2023-12-01,35.0
1017581,2024-01-01,39.0
1017581,2024-02-01,39.0
1279005,2023-12-01,0.0
1279005,2024-01-01,0.0
1279005,2024-02-01,0.0
1034587,2023-12-01,174.0
1034587,2024-01-01,170.0
1034587,2024-02-01,170.0
1034588,2023-12-01,88.0
1034588,2024-01-01,90.0
1034588,2024-02-01,97.0
1032022,2023-12-01,90.0
1032022,2024-01-01,55.0
1032022,2024-02-01,42.0
1041224,2023-12-01,28.0
1041224,2024-01-01,29.0
1041224,2024-02-01,30.0
1041225,2023-12-01,4.0
1041225,2024-01-01,3.0
1041225,2024-02-01,2.0
1071185,2023-12-01,0.0
1071185,2024-01-01,0.0
1071185,2024-02-01,0.0
1027144,2023-12-01,5.0
1027144,2024-01-01,5.0
1027144,2024-02-01,5.0
1331788,2023-12-01,20.0
1331788,2024-01-01,20.0
1331788,2024-02-01,20.0
1045065,2023-12-01,21.0
1045065,2024-01-01,18.0
1045065,2024-02-01,20.0
1045066,2023-12-01,83.0
1045066,2024-01-01,80.0
1045066,2024-02-01,75.0
1000742,2023-12-01,31.0
1000742,2024-01-01,30.0
1000742,2024-02-01,26.0
1000745,2023-12-01,5.0
1000745,2024-01-01,5.0
1000745,2024-02-01,5.0
1274082,2023-12-01,3.0
1274082,2024-01-01,3.0
1274082,2024-02-01,3.0
1276631,2023-12-01,53.0
1276631,2024-01-01,50.0
1276631,2024-02-01,54.0
1043230,2023-12-01,65.0
1043230,2024-01-01,62.0
1043230,2024-02-01,69.0
1024337,2023-12-01,63.0
1024337,2024-01-01,58.0
1024337,2024-02-01,63.0
1038821,2023-12-01,72.0
1038821,2024-01-01,76.0
1038821,2024-02-01,85.0
1279006,2023-12-01,30.0
1279006,2024-01-01,30.0
1279006,2024-02-01,30.0
1279007,2023-12-01,23.0
1279007,2024-01-01,23.0
1279007,2024-02-01,19.0
1071722,2023-12-01,0.0
1071722,2024-01-01,0.0
1071722,2024-02-01,0.0
1276632,2023-12-01,67.0
1276632,2024-01-01,66.0
1276632,2024-02-01,70.0
1036568,2023-12-01,40.0
1036568,2024-01-01,29.0
1036568,2024-02-01,35.0
1036569,2023-12-01,67.0
1036569,2024-01-01,67.0
1036569,2024-02-01,58.0
1000748,2023-12-01,1.0
1000748,2024-01-01,1.0
1000748,2024-02-01,1.0
1034589,2023-12-01,26.0
1034589,2024-01-01,29.0
1034589,2024-02-01,28.0
1032025,2023-12-01,130.0
1032025,2024-01-01,128.0
1032025,2024-02-01,130.0
1331790,2023-12-01,9.0
1331790,2024-01-01,9.0
1331790,2024-02-01,9.0
1017583,2023-12-01,73.0
1017583,2024-01-01,76.0
1017583,2024-02-01,80.0
1017585,2023-12-01,85.0
1017585,2024-01-01,90.0
1017585,2024-02-01,89.0
1027145,2023-12-01,3.0
1027145,2024-01-01,3.0
1027145,2024-02-01,5.0
1027149,2023-12-01,24.0
1027149,2024-01-01,22.0
1027149,2024-02-01,21.0
1045071,2023-12-01,11.0
1045071,2024-01-01,11.0
1045071,2024-02-01,10.0
1274083,2023-12-01,0.0
1274083,2024-01-01,0.0
1274083,2024-02-01,0.0
1274084,2023-12-01,3.0
1274084,2024-01-01,2.0
1274084,2024-02-01,2.0
1274085,2023-12-01,11.0
1274085,2024-01-01,12.0
1274085,2024-02-01,10.0
1038822,2023-12-01,166.0
1038822,2024-01-01,163.0
1038822,2024-02-01,160.0
1043231,2023-12-01,0.0
1043231,2024-01-01,0.0
1043231,2024-02-01,0.0
1043232,2023-12-01,0.0
1043232,2024-01-01,0.0
1043232,2024-02-01,0.0
1043234,2023-12-01,0.0
1043234,2024-01-01,0.0
1043234,2024-02-01,0.0
1000754,2023-12-01,161.0
1000754,2024-01-01,147.0
1000754,2024-02-01,153.0
1279011,2023-12-01,7.0
1279011,2024-01-01,7.0
1279011,2024-02-01,7.0
1017586,2023-12-01,52.0
1017586,2024-01-01,53.0
1017586,2024-02-01,52.0
1036571,2023-12-01,3.0
1036571,2024-01-01,1.0
1036571,2024-02-01,2.0
1276633,2023-12-01,47.0
1276633,2024-01-01,40.0
1276633,2024-02-01,46.0
1276634,2023-12-01,49.0
1276634,2024-01-01,46.0
1276634,2024-02-01,49.0
1032026,2023-12-01,21.0
1032026,2024-01-01,20.0
1032026,2024-02-01,28.0
1032027,2023-12-01,21.0
1032027,2024-01-01,19.0
1032027,2024-02-01,18.0
1331791,2023-12-01,23.0
1331791,2024-01-01,24.0
1331791,2024-02-01,24.0
1331792,2023-12-01,63.0
1331792,2024-01-01,39.0
1331792,2024-02-01,38.0
1045079,2023-12-01,48.0
1045079,2024-01-01,46.0
1045079,2024-02-01,48.0
1274087,2023-12-01,0.0
1274087,2024-01-01,0.0
1274087,2024-02-01,0.0
1034590,2023-12-01,0.0
1034590,2024-01-01,0.0
1034590,2024-02-01,0.0
1000761,2023-12-01,108.0
1000761,2024-01-01,103.0
1000761,2024-02-01,107.0
1071814,2023-12-01,0.0
1071814,2024-01-01,0.0
1071814,2024-02-01,0.0
1071815,2023-12-01,0.0
1071815,2024-01-01,0.0
1071815,2024-02-01,0.0
1043236,2023-12-01,1.0
1043236,2024-01-01,1.0
1043236,2024-02-01,1.0
1043240,2023-12-01,31.0
1043240,2024-01-01,32.0
1043240,2024-02-01,30.0
1027150,2023-12-01,199.0
1027150,2024-01-01,205.0
1027150,2024-02-01,197.0
1017589,2023-12-01,94.0
1017589,2024-01-01,97.0
1017589,2024-02-01,101.0
1276636,2023-12-01,8.0
1276636,2024-01-01,8.0
1276636,2024-02-01,7.0
1036573,2023-12-01,44.0
1036573,2024-01-01,48.0
1036573,2024-02-01,37.0
1024338,2023-12-01,2.0
1024338,2024-01-01,1.0
1024338,2024-02-01,1.0
1038825,2023-12-01,0.0
1038825,2024-01-01,0.0
1038825,2024-02-01,0.0
1041226,2023-12-01,0.0
1041226,2024-01-01,0.0
1041226,2024-02-01,0.0
1041227,2023-12-01,0.0
1041227,2024-01-01,0.0
1041227,2024-02-01,0.0
1041228,2023-12-01,4.0
1041228,2024-01-01,4.0
1041228,2024-02-01,4.0
1279014,2023-12-01,23.0
1279014,2024-01-01,23.0
1279014,2024-02-01,23.0
1032029,2023-12-01,47.0
1032029,2024-01-01,50.0
1032029,2024-02-01,52.0
1032030,2023-12-01,33.0
1032030,2024-01-01,38.0
1032030,2024-02-01,33.0
1331793,2023-12-01,8.0
1331793,2024-01-01,8.0
1331793,2024-02-01,8.0
1000763,2023-12-01,207.0
1000763,2024-01-01,207.0
1000763,2024-02-01,208.0
1071816,2023-12-01,1.0
1071816,2024-01-01,1.0
1071816,2024-02-01,1.0
1274090,2023-12-01,67.0
1274090,2024-01-01,67.0
1274090,2024-02-01,68.0
1045080,2023-12-01,40.0
1045080,2024-01-01,41.0
1045080,2024-02-01,41.0
1045081,2023-12-01,34.0
1045081,2024-01-01,45.0
1045081,2024-02-01,43.0
1276639,2023-12-01,37.0
1276639,2024-01-01,36.0
1276639,2024-02-01,35.0
1276641,2023-12-01,18.0
1276641,2024-01-01,20.0
1276641,2024-02-01,19.0
1034595,2023-12-01,260.0
1034595,2024-01-01,243.0
1034595,2024-02-01,247.0
1043243,2023-12-01,0.0
1043243,2024-01-01,0.0
1043243,2024-02-01,0.0
1017611,2023-12-01,8.0
1017611,2024-01-01,8.0
1017611,2024-02-01,8.0
1017613,2023-12-01,93.0
1017613,2024-01-01,96.0
1017613,2024-02-01,88.0
1027161,2023-12-01,11.0
1027161,2024-01-01,3.0
1027161,2024-02-01,8.0
1038826,2023-12-01,9.0
1038826,2024-01-01,9.0
1038826,2024-02-01,8.0
1038829,2023-12-01,0.0
1038829,2024-01-01,0.0
1038829,2024-02-01,0.0
1041232,2023-12-01,52.0
1041232,2024-01-01,54.0
1041232,2024-02-01,48.0
1036580,2023-12-01,0.0
1036580,2024-01-01,0.0
1036580,2024-02-01,0.0
1036585,2023-12-01,11.0
1036585,2024-01-01,11.0
1036585,2024-02-01,11.0
1024340,2023-12-01,0.0
1024340,2024-01-01,0.0
1024340,2024-02-01,0.0
1032031,2023-12-01,61.0
1032031,2024-01-01,64.0
1032031,2024-02-01,71.0
1000767,2023-12-01,1582.0
1000767,2024-01-01,1514.0
1000767,2024-02-01,1525.0
1071817,2023-12-01,0.0
1071817,2024-01-01,0.0
1071817,2024-02-01,0.0
1331794,2023-12-01,30.0
1331794,2024-01-01,29.0
1331794,2024-02-01,30.0
1045082,2023-12-01,77.0
1045082,2024-01-01,72.0
1045082,2024-02-01,69.0
1038832,2023-12-01,9.0
